Chance For Each Team To Make Each Round
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
|        Team       | Round of 64 | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
|       Auburn      |    100.0%   |    99.2%    |  79.9%   |  59.8%  |  43.2%  |    30.2%     | 20.3%  |
|      Alabama      |    100.0%   |    97.4%    |  70.2%   |  52.5%  |  38.6%  |    25.2%     | 14.4%  |
|      Florida      |    100.0%   |    97.4%    |  72.4%   |  50.5%  |  35.5%  |    19.1%     | 11.4%  |
|     Tennessee     |    100.0%   |    95.7%    |  70.3%   |  46.0%  |  32.1%  |    19.3%     | 10.4%  |
|        TAMU       |    100.0%   |    96.0%    |  75.8%   |  53.1%  |  24.5%  |    13.9%     |  7.5%  |
|       Purdue      |    100.0%   |    93.7%    |  77.1%   |  28.4%  |  15.3%  |     7.7%     |  3.7%  |
| Mississippi State |    100.0%   |    90.3%    |  60.0%   |  39.1%  |  18.3%  |     7.5%     |  3.5%  |
|      Ole Miss     |    100.0%   |    75.2%    |  45.8%   |  21.6%  |  13.2%  |     6.7%     |  3.0%  |
|      Kentucky     |    100.0%   |    90.3%    |  52.3%   |  34.6%  |  15.1%  |     7.3%     |  2.9%  |
|      Michigan     |    100.0%   |    89.8%    |  67.9%   |  37.4%  |  16.0%  |     7.2%     |  2.7%  |
|      Missouri     |    100.0%   |    71.4%    |  46.8%   |  20.7%  |  12.2%  |     5.1%     |  2.4%  |
|   Michigan State  |    100.0%   |    88.5%    |  62.7%   |  23.4%  |  13.0%  |     6.0%     |  2.3%  |
|        Duke       |    100.0%   |    96.5%    |  54.0%   |  30.2%  |  12.3%  |     5.2%     |  1.9%  |
|     Wisconsin     |    100.0%   |    68.0%    |  34.8%   |  22.1%  |   9.0%  |     4.1%     |  1.5%  |
|      Houston      |    100.0%   |    91.8%    |  44.7%   |  17.8%  |   9.4%  |     4.1%     |  1.5%  |
|     Iowa State    |    100.0%   |    96.2%    |  67.2%   |  31.5%  |  12.0%  |     3.9%     |  1.5%  |
|      Oklahoma     |    100.0%   |    61.4%    |  20.3%   |  11.9%  |   6.7%  |     3.2%     |  1.2%  |
|      Georgia      |    100.0%   |    69.0%    |  23.1%   |  10.7%  |   5.5%  |     2.3%     |  0.8%  |
|        UCLA       |    100.0%   |    65.3%    |  37.0%   |  15.3%  |   4.8%  |     2.0%     |  0.8%  |
|      Illinois     |    100.0%   |    85.8%    |  36.2%   |  19.4%  |   6.9%  |     2.1%     |  0.7%  |
|       Oregon      |    100.0%   |    88.0%    |  39.2%   |  13.1%  |   6.2%  |     1.9%     |  0.7%  |
|       Kansas      |    100.0%   |    95.3%    |  48.3%   |  18.0%  |   5.0%  |     1.8%     |  0.6%  |
|     Marquette     |    100.0%   |    92.7%    |  49.7%   |  19.5%  |   6.0%  |     2.1%     |  0.6%  |
|     Texas Tech    |    100.0%   |    51.1%    |  23.7%   |  12.1%  |   4.3%  |     1.6%     |  0.5%  |
|      Maryland     |    100.0%   |    48.9%    |  22.1%   |  11.0%  |   3.8%  |     1.4%     |  0.4%  |
|      Arizona      |    100.0%   |    55.0%    |  16.0%   |   7.6%  |   3.6%  |     1.2%     |  0.4%  |
|    Saint John's   |    100.0%   |    56.7%    |  12.4%   |   5.8%  |   2.5%  |     1.0%     |  0.4%  |
|      Nebraska     |    100.0%   |    52.8%    |  26.9%   |  10.0%  |   2.9%  |     0.9%     |  0.2%  |
|     Louisville    |    100.0%   |    38.6%    |   9.3%   |   4.5%  |   2.0%  |     0.7%     |  0.2%  |
|      Memphis      |    100.0%   |    71.3%    |  28.0%   |   6.7%  |   2.6%  |     0.8%     |  0.2%  |
|     Ohio State    |    100.0%   |    45.0%    |  11.4%   |   4.8%  |   2.1%  |     0.6%     |  0.2%  |
