Chance For Each Team To Make Each Round
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
|        Team       | Round of 64 | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
|       Auburn      |    100.0%   |    97.5%    |  68.9%   |  50.9%  |  37.6%  |    27.1%     | 18.4%  |
|      Alabama      |    100.0%   |    92.3%    |  65.7%   |  43.7%  |  31.2%  |    19.6%     | 11.5%  |
|      Florida      |    100.0%   |    91.9%    |  63.3%   |  41.6%  |  28.4%  |    14.9%     |  8.4%  |
|        Duke       |    100.0%   |    92.7%    |  60.9%   |  41.1%  |  23.4%  |    13.2%     |  6.8%  |
|     Tennessee     |    100.0%   |    85.3%    |  62.0%   |  37.2%  |  22.2%  |    12.7%     |  6.7%  |
|       Purdue      |    100.0%   |    83.8%    |  61.1%   |  24.1%  |  14.1%  |     7.9%     |  4.1%  |
|        TAMU       |    100.0%   |    82.9%    |  54.1%   |  31.8%  |  13.4%  |     7.4%     |  3.7%  |
|      Houston      |    100.0%   |    88.4%    |  49.5%   |  26.1%  |  13.9%  |     7.0%     |  3.2%  |
|      Memphis      |    100.0%   |    70.9%    |  41.9%   |  19.4%  |  11.9%  |     6.2%     |  2.9%  |
|     Iowa State    |    100.0%   |    91.8%    |  58.3%   |  33.6%  |  15.4%  |     6.0%     |  2.6%  |
|      Michigan     |    100.0%   |    75.7%    |  52.7%   |  25.2%  |  12.2%  |     5.9%     |  2.6%  |
| Mississippi State |    100.0%   |    78.1%    |  49.3%   |  27.5%  |  12.5%  |     4.9%     |  2.1%  |
|   Michigan State  |    100.0%   |    70.7%    |  37.5%   |  16.3%  |   9.5%  |     4.6%     |  2.1%  |
|     Utah State    |    100.0%   |    55.9%    |  36.0%   |  17.0%  |  10.1%  |     4.3%     |  2.0%  |
|    Saint John's   |    100.0%   |    58.4%    |  19.7%   |  11.5%  |   6.6%  |     3.7%     |  1.9%  |
|     Wisconsin     |    100.0%   |    60.5%    |  35.7%   |  21.3%  |   9.2%  |     4.3%     |  1.8%  |
|     Marquette     |    100.0%   |    84.0%    |  50.6%   |  26.0%  |  10.3%  |     4.4%     |  1.7%  |
|    Saint Mary's   |    100.0%   |    54.9%    |  33.7%   |  18.1%  |   6.9%  |     3.5%     |  1.6%  |
|      Ole Miss     |    100.0%   |    58.3%    |  29.8%   |  14.7%  |   7.3%  |     3.4%     |  1.5%  |
|      Kentucky     |    100.0%   |    65.3%    |  32.6%   |  18.2%  |   7.3%  |     3.1%     |  1.2%  |
|      Arizona      |    100.0%   |    61.4%    |  23.9%   |  12.2%  |   6.6%  |     2.5%     |  1.0%  |
|       Kansas      |    100.0%   |    82.2%    |  37.7%   |  17.9%  |   5.9%  |     2.6%     |  1.0%  |
|     Texas Tech    |    100.0%   |    55.5%    |  22.3%   |  12.3%  |   5.4%  |     2.3%     |  0.9%  |
|      Missouri     |    100.0%   |    44.1%    |  26.1%   |  10.9%  |   5.8%  |     2.2%     |  0.9%  |
|     Louisville    |    100.0%   |    56.5%    |  19.9%   |   9.5%  |   5.1%  |     2.2%     |  0.9%  |
